Designator,Mid X,Mid Y,Layer,Rotation
C1,20.96, 5.08,Top,180.0
C2,24.77, 5.08,Top,0.0
C3,10.48, 1.91,Top,0.0
C4,68.58,19.37,Top,270.0
C5,66.04,19.37,Top,270.0
C6,63.50,19.37,Top,270.0
C7,60.96,19.37,Top,270.0
C8,58.42,19.37,Top,270.0
C9,55.88,19.37,Top,270.0
C10,53.34,19.37,Top,270.0
C11,50.80,19.37,Top,270.0
C12,64.77, 5.08,Top,0.0
C13,54.61, 5.08,Top,0.0
C14,60.96,46.36,Top,270.0
C15,63.50,46.36,Top,270.0
C16,66.04,46.36,Top,270.0
C17,68.58,46.36,Top,270.0
C18,64.77,32.07,Top,0.0
C19,50.80,46.36,Top,270.0
C20,53.34,46.36,Top,270.0
C21,55.88,46.36,Top,270.0
C22,38.10,19.37,Top,270.0
C23,35.56,19.37,Top,270.0
C24,33.02,19.37,Top,270.0
C25,30.48,19.37,Top,270.0
C26,48.26,19.37,Top,270.0
C27,45.72,19.37,Top,270.0
C28,43.18,19.37,Top,270.0
C29,40.64,19.37,Top,270.0
C30,34.29, 5.08,Top,0.0
C31,44.45, 5.08,Top,0.0
C32,58.42,46.36,Top,270.0
C33,54.61,32.07,Top,0.0
C34,40.64,46.36,Top,270.0
C35,43.18,46.36,Top,270.0
C36,45.72,46.36,Top,270.0
C37,48.26,46.36,Top,270.0
C38,44.45,32.07,Top,0.0
C39,30.48,46.36,Top,270.0
C40,10.48, 5.08,Top,0.0
C41,33.02,46.36,Top,270.0
C42,35.56,46.36,Top,270.0
C43,38.10,46.36,Top,270.0
C44,34.29,32.07,Top,0.0
C45,10.48,32.07,Top,0.0
C46,24.77,32.07,Top,0.0
C47,20.96,32.07,Top,180.0
C48,10.48,28.89,Top,0.0
IC1,64.77,10.79,Top,270.0
IC2,54.61,10.79,Top,270.0
IC3,44.45,10.79,Top,270.0
IC4,34.29,10.79,Top,270.0
IC5,15.56, 3.18,Top,270.0
IC6,64.77,37.78,Top,270.0
IC7,22.86,11.75,Top,270.0
IC8,10.48,11.75,Top,270.0
IC9,54.61,37.78,Top,270.0
IC10,44.45,37.78,Top,270.0
IC11,34.29,37.78,Top,270.0
IC12,22.86,38.73,Top,270.0
IC13,10.48,38.73,Top,270.0
IC14,15.56,30.16,Top,270.0
