Designator,Mid X,Mid Y,Layer,Rotation
C1,20.96, 5.08,Top,180.0
C2,24.77, 5.08,Top,0.0
C3,10.48, 1.91,Top,0.0
C4,68.58,18.73,Top,270.0
C5,66.04,18.73,Top,270.0
C6,63.50,18.73,Top,270.0
C7,60.96,18.73,Top,270.0
C8,58.42,18.73,Top,270.0
C9,55.88,18.73,Top,270.0
C10,53.34,18.73,Top,270.0
C11,50.80,18.73,Top,270.0
C12,64.77, 5.08,Top,0.0
C13,54.61, 5.08,Top,0.0
C22,38.10,18.73,Top,270.0
C23,35.56,18.73,Top,270.0
C24,33.02,18.73,Top,270.0
C25,30.48,18.73,Top,270.0
C26,48.26,18.73,Top,270.0
C27,45.72,18.73,Top,270.0
C28,43.18,18.73,Top,270.0
C29,40.64,18.73,Top,270.0
C30,34.29, 5.08,Top,0.0
C31,44.45, 5.08,Top,0.0
C40,10.48, 5.08,Top,0.0
IC1,64.77,10.79,Top,270.0
IC2,54.61,10.79,Top,270.0
IC3,44.45,10.79,Top,270.0
IC4,34.29,10.79,Top,270.0
IC5,15.56, 3.18,Top,180.0
IC7,22.86,11.75,Top,270.0
IC8,10.48,11.75,Top,270.0
