Designator,Mid X,Mid Y,Layer,Rotation
C2, 7.94,16.51,Top,180.0
C3, 7.94, 8.57,Top,0.0
C26,16.51,17.78,Top,270.0
C27,33.66,17.78,Top,270.0
C28,33.66, 6.99,Top,90.0
C29,16.51, 6.99,Top,90.0
C31,16.83,12.38,Top,90.0
C36,21.91,18.10,Top,270.0
C37,28.89,18.10,Top,270.0
C38,28.89, 6.67,Top,90.0
C39,21.91, 6.67,Top,90.0
IC5,25.40,12.38,Top,0.0
R1,14.29,12.38,Top,270.0
R2,14.29, 6.99,Top,270.0
R27,24.13,18.10,Top,90.0
R28,19.37,18.10,Top,270.0
R29,26.67,18.10,Top,90.0
R30,31.43,18.10,Top,270.0
R31,26.67, 6.67,Top,270.0
R32,31.43, 6.67,Top,90.0
R33,24.13, 6.67,Top,270.0
R34,19.37, 6.67,Top,90.0
